Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal,Time,Species ,
2017.07.27,27-Jul-17,2017,Unprovoked,BAHAMAS,New Providence District,Rose Island,Snorkeling,F,,Foot & ankle injured,Not Fatal,,,
2017.07.26.R,Reported 26-Jul-2017,2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,,Spearfishing,M,,Severe lacerations to left hand,Not Fatal,,,
2017.07.23.b,23-Jul-17,2017,Unprovoked,USA,New Jersey,Ventnor,,F,,Minor injury to hand,Not Fatal,,Sandtiger shark  2',
2017.07.22,22-Jul-17,2017,Unprovoked,USA,Florida,"Snipes Point, Monroe County",,F,40,Foot bitten,Not Fatal,12h30,"""A small shark""",
2017.07.20.c,20-Jul-17,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8,Foot injured,Not Fatal,,Shark involvement not confirmed,
2017.07.20.b,20-Jul-17,2017,Watercraft,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten",Not Fatal,11h20,"White shark, 11' to 13'",
2017.07.20.a,20-Jul-17,2017,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",Not Fatal,07h45,"White shark, 8' to 10'",
2017.07.14.b,14-Jul-17,2017,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,,Pulled off board by shark but no injury,Not Fatal,18h30,"White shark, 9'",
2017.07.14.a,14-Jul-17,2017,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,Surfing,M,,"Minor injury, grazed by shark",Not Fatal,11h45,,
2017.07.11,11-Jul-17,2017,Watercraft,USA,California,"Santa Cruz, Santa Cruz County",Kayaking,M,,"No injury, kayak bitten",Not Fatal,11h00,White shark,
2017.07.09,09-Jul-17,2017,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,Not Fatal,15h30,"Bull shark, 4' to 5'",
2017.07.07.R,Reported 07-Jul-2017,2017,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,Not Fatal,,"Tiger shark, 100 kg",
2017.07.07,07-Jul-17,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",Not Fatal,15h00,"White shark, 2.5 m",
2017.06.29,29-Jun-17,2017,Invalid,USA,South Carolina,Wrightsville Beach,Fishing,M,,"Arm injured by hook, not by a shark",Not Fatal,19h30,No shark invovlement ,
2017.06.21,21-Jun-17,2017,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,Not Fatal,,,
2017.06.19,19-Jun-17,2017,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",Surfing,M,,1 to 2-inch laceration behind knee,Not Fatal,Morning,,
2017.06.18.b,18-Jun-17,2017,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,Not Fatal,,"Bull shark, 4' to 5'",
2017.06.18.a,18-Jun-17,2017,Unprovoked,REUNION,Unknown,Roches Noire,Body boarding,M,34,"No injury, shark bit surfboard ",Not Fatal,10h00,"Bull shark, 2m",
2017.06.14.R,Reported 14-Jun-2017,2017,Unprovoked,BAHAMAS,Unknown,,Feeding sharks,F,,Fingernail pulled off ,Not Fatal,,,
2017.06.11,11-Jun-17,2017,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten",Not Fatal,08h30,"White shark, 4 m",
2017.06.10.b,10-Jun-17,2017,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,,"No injury, knocked off board",Not Fatal,15h45,Seven-gill shark,
2017.06.10.a,10-Jun-17,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,Not Fatal,10h00,,
2017.06.04,04-Jun-17,2017,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,,Laceration to shin,Not Fatal,,8' shark,
2017.06.02,02-Jun-17,2017,Unprovoked,BAHAMAS,New Providence ,Athol Island,Snorkeling,F,32,Right forearm severed ,Not Fatal,Shortly before 12h00,Tiger shark,
2017.05.30,30-May-17,2017,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,Not Fatal,,3' shark,
2017.05.28,28-May-17,2017,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,,Lacerations to right arm,Not Fatal,Morning,Tiger shark,
2017.05.27,27-May-17,2017,Invalid,AUSTRALIA,New South Wales,Evans Head,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,Not Fatal,,,
2017.05.06.R,Reported 06-May-2017,2017,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,Not Fatal,,9' shark,
2017.05.06,05-May-17,2017,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Fatal,17h00,,
2017.05.03,03-May-17,2017,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",Not Fatal,14h30,Shark involvement highly doubtful,
2017.04.29.d,29-Apr-17,2017,Unprovoked,USA,California,"San Onofre, San Diego County ",Swimming,F,,Major injury to posterior thigh,Not Fatal,17h34,,
2017.04.29.c,29-Apr-17,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,Not Fatal,17h10,,
2017.04.29.b,29-Apr-17,2017,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,Not Fatal,11h00,,
2017.04.29.a,29-Apr-17,2017,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,M,28,FATAL,Fatal,11h15,,
2017.04.27,27-Apr-17,2017,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,F,20s,Puncture wounds & laceration above knee,Not Fatal,14h00,,
2017.04.26,26-Apr-17,2017,Invalid,USA,Florida,,Photo shoot,F,,Alleged laceration to left ankle,Not Fatal,,No shark invovlement - it ws a publicity stunt,
2017.04.20,20-Apr-17,2017,Invalid,USA,South Carolina,Georgetown County,Swimming,M,,Laceration & puncture wounds to left foot,Not Fatal,08h50,Shark involvement not confirmed,
2017.04.17.b,17-Apr-17,2017,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",,,,Minor bite to the foot,Not Fatal,Afternoon,,
2017.04.17.a,17-Apr-17,2017,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Fatal,16h00,White shark,
2017.04.14,14-Apr-17,2017,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,Not Fatal,09h00,"Tiger shark, 12'",
2017.04.13,13-Apr-17,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,Not Fatal,13h30,,
2017.04.12.b,12-Apr-17,2017,Unprovoked,USA,Florida,St. Augustine,Surfing,F,,Lacerations to right foot,Not Fatal,13h45,,
2017.04.12.a,12-Apr-17,2017,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Scuba Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",Fatal,,Shark involvement prior to death not confirmed,
2017.04.11,11-Apr-17,2017,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,Not Fatal,16h00,,
2017.04.10.b,10-Apr-17,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,10,Laceration to calf,Not Fatal,17h45,,
2017.04.10.a,10-Apr-17,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to left hand,Not Fatal,17h00,,
2017.04.06,06-Apr-17,2017,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,M,16,Foot injured,Not Fatal,,,
2017.04.05,05-Apr-17,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",Not Fatal,13h00,,
2017.04.02.b,02-Apr-17,2017,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,M,39,"No injury, shark bit off stern of kayak",Not Fatal,Afternoon,,
2017.04.02.a,02-Apr-17,2017,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,F,17,Lacerations to thighs,Not Fatal,15h00,"Bull shark, 5' to 7'",
2017.03.27,27-Mar-17,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,Not Fatal,10h00,,
2017.03.19,19-Mar-17,2017,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,M,30,Minor,Not Fatal,18h30,,
2017.03.18,18-Mar-17,2017,Watercraft,USA,California,Monterey Bay,Kayaking,M,,"No injury, kayak bitten",Not Fatal,14h30,White shark,
2017.03.09,Reported 09-Mar-2017,2017,Unprovoked,BAHAMAS,The Exuma Cays,Great Exuma,Washing hands,M,58,Abrasions & lacerations to left leg and hand,Not Fatal,,Lemon shark,
2017.03.07,07-Mar-17,2017,Provoked,MEXICO,Tamaulipas,"Playa Baghdad, Matamoros",Fishing,M,,Finger severed by  'dead shark' on boat's deck   PROVOKED INCIDENT,Not Fatal,Morning,,
2017.03.01,01-Mar-17,2017,Unprovoked,BAHAMAS,The Exuma Cays,Compass Cay,Floating,F,,Minor injury to hand,Not Fatal,,Nurse shark,
2017.02.25,25-Feb-17,2017,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,Snorkeling,F,,Hand bitten,Not Fatal,Morning,"Bull shark, 1.5",
2017.02.24,24-Feb-17,2017,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,,"No injury, shark struck board",Not Fatal,Morning,,
2017.02.21,21-Feb-17,2017,Unprovoked,REUNION,Saint-Andre,,Body boarding,M,26,Fatal,Fatal,09h30,,
2017.02.17,17-Feb-17,2017,Unprovoked,AUSTRALIA,Queensland,Eva Rock,Spearfishing,M,26,Left leg severely bitten,Not Fatal,10h20,,
2017.02.11,11-Feb-17,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,Not Fatal,13h30,,
2017.02.06.b,06-Feb-17,2017,Provoked,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,Grabbing shark for a selfie,F,,"Minor injury to finger, PROVOKED INCIDENT",Not Fatal,Afternoon,Lemon shark pup,
2017.02.06.a,06-Feb-17,2017,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Fishing,M,,"Shark damaged kayak, no injury to occupant",Not Fatal,,Tiger shark,
2017.02.01.b,01-Feb-17,2017,Watercraft,USA,South Carolina,16 miles off Hilton Head,Fishing,,,"Shark bit boat, no injury to occupants",Not Fatal,,"White shark, female, 14'",
2017.02.01.a,01-Feb-17,2017,Unprovoked,BAHAMAS,Bimini,,Scuba Diving,M,37,Lacerations to upper right arm,Not Fatal,,Caribbean reef shark,
2017.01.24,24-Jan-17,2017,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,21,Minor laceration to ring finger,Not Fatal,13h20,,
2017.01.22,22-Jan-17,2017,Unprovoked,USA,Florida,"Vero Beach, Indian River County",,M,Teen,Puncture wounds to lower arm or hand,Not Fatal,14h00,,
2017.01.21,21-Jan-17,2017,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",Not Fatal,12h00,"Bull shark, 4 m",
2017.01.13.b,13-Jan-17,2017,Unprovoked,AUSTRALIA,Queensland,Clairview,Swimming,M,57,Injury to hand,Not Fatal,13h30,,
2017.01.13.a,13-Jan-17,2017,Unprovoked,USA,Florida,Jensen Beach,,M,,Minor injury to hand,Not Fatal,Morning,,
2017.01.05,05-Jan-17,2017,Unprovoked,USA,Florida,"Blockhouse Beach, Brevard County",Wading,M,47,Minor injuries to foot,Not Fatal,12h30,,
2017.01.03,03-Jan-17,2017,Invalid,AUSTRALIA,New South Wales,Merimbula,Wading,M,20,Minor injuries to foot & toes,Not Fatal,18h00,Shark involvement not confirmed,
2016.12.27,27-Dec-16,2016,Unprovoked,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,Lacerations to right forearm,Not Fatal,17h00,,
2016.12.24,24-Dec-16,2016,Unprovoked,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,F,,Buttock bitten,Not Fatal,Morning,a small shark,
2016.12.19,19-Dec-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing ,M,55,"No injury, but ski severely damaged",Not Fatal,07h00,"White shark, 4 m",
2016.12.14,14-Dec-16,2016,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Free diving,M,61,Punctures to left foot/ankle,Not Fatal,09h30,,
2016.12.11.a,11-Dec-16,2016,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Cuts to right ankle & foot,Not Fatal,Afternoon,Shark involvement not confirmed,
2016.12.06,06-Dec-16,2016,Provoked,AUSTRALIA,New South Wales,Merimbula,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,Not Fatal,02h00,"Wobbegong shark, 2m",
2016.12.01,01-Dec-16,2016,Unprovoked,AUSTRALIA,New South Wales,Booti Booti National Park,Surfing,M,65,Injuries to foot & arm,Not Fatal,09h00,White shark,
2016.11.28,28-Nov-16,2016,Provoked,AUSTRALIA,Victoria,Queenscliff,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,Not Fatal,11h00,"Broadnose sevengill shark, 1.5 m",
2016.11.14,14-Nov-16,2016,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",Floating,F,58,Injuries to right calf and thigh,Not Fatal,10h30,Tiger shark,
2016.10.30,30-Oct-16,2016,Unprovoked,USA,Florida,"Mayport Naval Station Beach, Duval County",Surfing,M,41,Lacerations to right foot and ankle,Not Fatal,Afternoon,,
2016.10.29,29-Oct-16,2016,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,Surfing,M,42,Lacerations to right hand,Not Fatal,Afternoon,,
2016.10.24,24-Oct-16,2016,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,Surfing,M,36,Lacerations to left thigh,Not Fatal,07h30,,
2016.10.21,21-Oct-16,2016,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,36,Left arm and leg injured,Not Fatal,17h00, 6' to 8' shark,
2016.10.15,15-Oct-16,2016,Unprovoked,AUSTRALIA,Queensland,"Kings Beach, Caloundra",Surfing,M,,Torso nipped,Not Fatal,18h00,,
2016.10.14,14-Oct-16,2016,Unprovoked,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,F,66,Injuries to left calf,Not Fatal,09h50,,
2016.10.13.R,13-Oct-16,2016,Invalid,MEXICO,Unknown,Guadalupe Island,Cage Diving,M,,"Shark breached cage, no injury to diver",Not Fatal,,White shark,
2016.10.12,12-Oct-16,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,25,Minor wound to lower right leg & surfboard bitten,Not Fatal,10h30,,
2016.10.10,10-Oct-16,2016,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,29,Wounds to upper thigh and lower leg,Not Fatal,16h00,,
2016.10.02,02-Oct-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Cuts to dorsal surface of left foot,Not Fatal,11h30,,
2016.10.01,01-Oct-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfng,M,32,Minor injuries,Not Fatal,17h30,,
2016.09.26,26-Sep-16,2016,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Surfing,M,17,4 deep lacerations to thigh,Not Fatal,9h00,"White shark, 3.5 m",
2016.09.18.c,18-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Minor injury to thigh,Not Fatal,13h00,,
2016.09.18.b,18-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,Lacerations to hands,Not Fatal,11h00,,
2016.09.18.a,18-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,Lacerations to lower leg,Not Fatal,10h43,,
2016.09.17.b,17-Sep-16,2016,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,43,"No injury, board bitten",Not Fatal,After noon,,
2016.09.17.a,17-Sep-16,2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,,Struck by fin on chest & leg,Not Fatal,,,
2016.09.15,16-Sep-16,2016,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,M,,No injury: Knocked off board by shark,Not Fatal,,2 m shark,
2016.09.15.R,15-Sep-16,2016,Watercraft,AUSTRALIA,Western Australia,Bunbury,Fishing,,,Shark rammed boat. No injury to occupant,Not Fatal,,,
2016.09.11,11-Sep-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,60s,Minor injury to arm,Not Fatal,15h15,3' to 4' shark,
2016.09.07,07-Sep-16,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,Severe lacerations to shoulder & forearm,Not Fatal,14h30,"Tiger shark, 10'",
2016.09.06,06-Sep-16,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,M,50,FATAL,Fatal,15h40,,
2016.09.05.b,05-Sep-16,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,Lacerations & punctures to lower right leg,Not Fatal,Late afternoon,,
2016.09.05.a,05-Sep-16,2016,Unprovoked,AUSTRALIA,Western Australia,Injidup ,Surfing,M,,"No inury, board broken in half by shark",Not Fatal,Late afternoon,,
2016.09.04,04-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,9,Foot bitten,Not Fatal,,,
2016.09.01,01-Sep-16,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,Two toes broken & lacerated,Not Fatal,,"White shark, 8' to 10'",
2016.09.00,Sep-16,2016,Invalid,MEXICO,Unknown,Guadalupe Island,Cage Diving,,,"No injury to divers, white shark breached cage",Not Fatal,,Invalid,
2016.08.29.b,29-Aug-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,Lacerations to right foot,Not Fatal,15h00,"Bull shark, 6'",
2016.08.29.a,29-Aug-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37,Minor injury to ankle,Not Fatal,14h00,,
2016.08.27,27-Aug-16,2016,Unprovoked,REUNION,Unknown,Boucan Canot,Surfing,M,20,"Right arm severed, ankle severely bitten ",Not Fatal,17h00,"Bull shark, 3.5 m",
2016.08.25,25-Aug-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,49,Minor injury to ankle,Not Fatal,16h00,,
2016.08.07,07-Aug-16,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,15,Lacerations to left leg,Not Fatal,,,
2016.08.06,06-Aug-16,2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,M,21,"No inury, shark & board collided",Not Fatal,16h30,"Tiger shark, 10' ",
2016.08.04,04-Aug-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,Big toe bitten,Not Fatal,,Blacktip shark,
2016.07.28,28-Jul-16,2016,Watercraft,AUSTRALIA,Western Australia,Near Albany,,M,,"No injury, shark nudged kayak repeatedly",Not Fatal,,White shark,
2016.07.27,27-Jul-16,2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,43,Laceration to left forearm PROVOKED INCIDENT,Not Fatal,,"Nurse shark, 4'",
2016.07.26,26-Jul-16,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",Not Fatal,12h00,,
2016.07.23.b,23-Jul-16,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,36,Calf bumped but no injury,Not Fatal,,,
2016.07.23.a,23-Jul-16,2016,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,M,,Lacerations to face and right leg,Not Fatal,,"Bull shark, 6'",
2016.07.20,20-Jul-16,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,Not Fatal,After noon,"reef shark, 1m",
2016.07.17,17-Jul-16,2016,Watercraft,USA,Alabama,8 miles off Mobile,Fishing,,,"No injury, shark bit trolling motor",Not Fatal,,"Tiger shark, 10' ",
2016.07.16.b,16-Jul-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,Minor injury to leg,Not Fatal,1300,,
2016.07.16.a,16-Jul-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,F,11,Minor injury to toes,Not Fatal,11h00,,
2016.07.15.b,15-Jul-16,2016,Unprovoked,USA,California,"Surfside, Orange County",Kite surfing,M,61,"No injury, board damaged",Not Fatal,17h00,"White shark, 10' to 12'",
2016.07.15.a,15-Jul-16,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,,Puncture wounds to foot,Not Fatal,,,
2016.07.14.R,Reported  14-Jul-2016,2016,Unprovoked,BAHAMAS,Unknown,Tiger Beach,Scuba Diving,M,,Face bruised when partly blind shark collided with him,Not Fatal,,"Lemon shark, 9'",
2016.07.08,08-Jul-16,2016,Watercraft,USA,California,"Capitola, Santa Cruz County",Fishing ,M,,"No injury. Hull bitten, tooth fragment recovered",Not Fatal,,White shark,
2016.07.07.b,07-Jul-16,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,Not Fatal,10h00,dogfish shark,
2016.07.07.a,07-Jul-16,2016,Watercraft,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing ,M,,"No injury. Hull bitten, tooth fragment recovered",Not Fatal,,White shark,
2016.07.06,06-Jul-16,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",Not Fatal,14h30 / 15h30,,
2016.07.04,04-Jul-16,2016,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,Not Fatal,22h00,Tawny nurse shark,
2016.06.27,27-Jun-16,2016,Unprovoked,USA,South Carolina,Sullivan's Island,,M,35,Minor injury,Not Fatal,16h20,3' to 4' shark,
2016.06.25,25-Jun-16,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11,Foot injured,Not Fatal,14h34,,
2016.06.23,23-Jun-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,43,Injuries to left leg & right hand,Not Fatal,,White shark,
2016.06.21.b,21-Jun-16,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42,Lacerations and punctures to foot,Not Fatal,15h25,3' to 5' shark,
